[2024-02-26 16:03:36,807: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2024-02-26 16:03:36,809: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-02-26 16:03:36,811: INFO: common: yaml file: params.yaml loaded successfully]
[2024-02-26 16:03:36,811: INFO: common: created directory at: artifacts]
[2024-02-26 16:03:36,811: INFO: common: created directory at: artifacts/data_ingestion]
[2024-02-26 16:03:36,811: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/17zVmNf_IV0MmD2JGRMueXZEF3DQbMr48/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-02-26 16:09:08,386: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/17zVmNf_IV0MmD2JGRMueXZEF3DQbMr48/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-02-26 16:09:20,655: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
[2024-02-26 16:09:20,655: INFO: main: *******************]
[2024-02-26 16:09:20,655: INFO: main: >>>>>> stage Prepare base model started <<<<<<]
[2024-02-26 16:09:20,665: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-02-26 16:09:20,665: INFO: common: yaml file: params.yaml loaded successfully]
[2024-02-26 16:09:20,667: INFO: common: created directory at: artifacts]
[2024-02-26 16:09:20,667: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-02-26 16:09:21,043: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2024-02-26 16:09:21,217: INFO: main: >>>>>> stage Prepare base model completed <<<<<<

x==========x]
[2024-02-26 16:17:53,154: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-02-26 16:17:53,157: INFO: common: yaml file: params.yaml loaded successfully]
[2024-02-26 16:17:53,158: INFO: common: created directory at: artifacts]
[2024-02-26 16:17:53,160: INFO: common: created directory at: artifacts\training]
[2024-02-26 16:19:06,183: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-02-26 16:19:06,186: INFO: common: yaml file: params.yaml loaded successfully]
[2024-02-26 16:19:06,188: INFO: common: created directory at: artifacts]
[2024-02-26 16:19:06,188: INFO: common: created directory at: artifacts\training]
[2024-02-26 16:26:13,687: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-02-26 16:26:13,690: INFO: common: yaml file: params.yaml loaded successfully]
[2024-02-26 16:26:13,691: INFO: common: created directory at: artifacts]
[2024-02-26 16:26:13,692: INFO: common: created directory at: artifacts\training]
[2024-02-26 16:49:53,844: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2024-02-26 16:49:53,844: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-02-26 16:49:53,844: INFO: common: yaml file: params.yaml loaded successfully]
[2024-02-26 16:49:53,844: INFO: common: created directory at: artifacts]
[2024-02-26 16:49:53,844: INFO: common: created directory at: artifacts/data_ingestion]
[2024-02-26 16:49:53,844: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/17zVmNf_IV0MmD2JGRMueXZEF3DQbMr48/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-02-26 16:51:17,301: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2024-02-26 16:51:17,301: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-02-26 16:51:17,301: INFO: common: yaml file: params.yaml loaded successfully]
[2024-02-26 16:51:17,301: INFO: common: created directory at: artifacts]
[2024-02-26 16:51:17,316: INFO: common: created directory at: artifacts/data_ingestion]
[2024-02-26 16:51:17,316: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/17zVmNf_IV0MmD2JGRMueXZEF3DQbMr48/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-02-26 16:56:24,764: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/17zVmNf_IV0MmD2JGRMueXZEF3DQbMr48/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-02-26 16:56:37,598: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
[2024-02-26 16:56:37,598: INFO: main: *******************]
[2024-02-26 16:56:37,598: INFO: main: >>>>>> stage Prepare base model started <<<<<<]
[2024-02-26 16:56:37,602: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-02-26 16:56:37,602: INFO: common: yaml file: params.yaml loaded successfully]
[2024-02-26 16:56:37,602: INFO: common: created directory at: artifacts]
[2024-02-26 16:56:37,602: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-02-26 16:56:38,168: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2024-02-26 16:56:38,360: INFO: main: >>>>>> stage Prepare base model completed <<<<<<

x==========x]
[2024-02-26 16:56:38,360: INFO: main: *******************]
[2024-02-26 16:56:38,360: INFO: main: >>>>>> stage Training started <<<<<<]
[2024-02-26 16:56:38,360: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-02-26 16:56:38,360: INFO: common: yaml file: params.yaml loaded successfully]
[2024-02-26 16:56:38,360: INFO: common: created directory at: artifacts]
[2024-02-26 16:56:38,360: INFO: common: created directory at: artifacts\training]
[2024-02-26 17:12:08,212: INFO: main: >>>>>> stage Training completed <<<<<<

x==========x]
